delta,gamma,kappa,lambda_s,v,energy
1.7174075663785154146888073442746954230051926217984228591370211122793910488560346,16.338777718519285976691220920738157006635146959879053867537405412534146628861935,0.49721946160154659335444112920221187416337658392595058380202826190956744160622198,0.41204532165888644531670184068773942110930516333958616041143969650374280679245782,0.04780473582770994052058183940598406858123812076300219074311522608325809682819412,1.5110471769591211937352736722670151968702126273048938977799400761375297000170617
1.7250999920740252267619930386493753532979780050665225946170147809817821939873902,16.338381668814643867528856970002798816006829791928145275342017019248761047543614,0.48640684302058025327343172271220228944821466715593565239179175594536556305859619,0.39431936156207900174360704477631003918967910344773092769733530038166157978626266,0.047751956503098962068251988027756852196359683028592781700466617676408330279200587,4.5527504380714589413346916057486046690080249703423521150662233175392127001301147
1.7250954826470866507827627640288702684418410872574005392377169721956260747660327,16.338380059611961077004279860686712069741243245188111133447248517901054111029408,0.48641538179698367591081972188053666050997114913612077814236764429460789427685029,0.39433320608117566395511128958332179442683190784929088696083629324878341382647464,0.047702733940557985334483154811218229668720254708688709898546783006564494828713184,4.2813115002978644842182191869142528026049486375075381802890735966120406525932101
1.7174596951916478394343384202381291456365331205446313229547513325407532105963473,16.338754643885568174938457815674026906978201731673943238256864906653869840008139,0.49725922473471312136566105171281493160084027848953735989670665526710642969475911,0.41211122763961321620936040058391505614121857030455694914837054387246222041944404,0.04785491607875893790889567327962268042280397116148829104045135135836883095772462,2.8247916428518705340557920101735218820678698219681639573950608624141765717147516
1.7174050703028999449925106600064501774181322425016061904607076773128076580013289,16.338676031497875580831653923460528481501082975080582020042341464218004536005896,0.49732216790269608745603654375736747592157565505877128077357265217567524318633517,0.41221556447906239754495908108940834507800963128276126231469008510699399762840045,0.047843412208083661982791006968541559234446882778835399930190030500431644904961294,2.5174166499883540872118749527841864086952002546569102014495070881567775864732565
1.7174473085718586860438479314879885081917268602368173408399327827659245490920173,16.338725311304776165468019441588938547962625952318861658082082420912207803327568,0.49733236093685126775236143886065643884562922598749940730017786363886717449141212,0.41223246205837084133039652968723129967288449057270268944679416192066288152307972,0.04780518171501867008025476671669349308864449592563496253732478846302715315112234,1.5394649332561347073310085918379298430825125297925816765011331817097044732162452
1.7027539828813432291636596713454777261502711214188779838558409707562998468058418,16.33838348216947803637946202340639445233409106971634548677044613227839320433181,0.51258878441867303844413763981862520466494775542186893391805941859575765084717712,0.43791210318635477252436440427760750420866467449166693059681522075607899694970631,0.047762313977231682521553197777788688539094417476958508075043655342764745752277944,3.4779627485437489147693395425854763752895083838847479597731551185865999225983462
1.7028339820179081608169020633000178427198086995022688026499808063945894375052722,16.338357442515144066210393218118536929673097655846972301040474456234986516295642,0.51267758323898741731341649313587618700976367706558797817373632378240506131597263,0.43806384059294812001404071330101878944092622803081971536779453522966572278421465,0.047673827814543213288306656986778773387344928310830469144416991388690776154226646,3.2208761834115618423072754587647844403749506415890875711590037280023340975251453
1.7027051694979557450791996253772054900750501644999048786079744708649390576545989,16.338368482410408164135431754332186356484542713409851421483996719499384049722293,0.51271002938836570136949315183503684199601436984134975425421193754526028919922982,0.43811929039236470195724044197584103323740353191626104217056224889129789262210615,0.047660895141310482448516859735594930800463090323513486639945294148797320461072981,3.3123808187196162965230028637944488180518534400552711289046514345644103812763322
1.7027135470739058804130936302468426112721915739371782548416472551795179222518788,16.338314202206241695760340649844454571959199386784564107220507066874426558859488,0.51273346548069074701367999132382754732399259862993580588868513389615019786929245,0.43815934437306448308431447161640295050126652144513030074714795042500521380800542,0.047599200169733507728738126737265332661496141723503072510517326451638296074214152,4.2558007593154431474828027624299243821549705114025495143703700243025238152669367
1.7238094218167416612572163724837927213202361417831953170332305036769993524807947,16.3392116180060968317578826948602895881032356110933170648074675465246172126541,0.48615994083756899915248078477512787306317109806924417904875262257872897273788879,0.39391914679198098241530341116024419681060788282805526797538310719871670348892529,0.047727416825904824226327950205892936023173854029070586955397190399009650311522037,3.9604321399698214697773599092023038371561507398839642093606718042490322391332403
1.7237662267683002055046108899091657372024811173949591218558582709007366998905099,16.339138126993617666239553870229676847000400901245933736267990103072776945939475,0.48612535369067733180795249915521320522975660690434741123719005371693978253773473,0.39386309916814355490918875065245492566757636135026351704617771043424521611357818,0.047685411245444404242184240903149732329637339447422653108411059104219506730260798,3.8905277465434480485350208350191587590737025026693281359564779228249601410428791
1.7170818562622190879605449870329890765285228237459869089265681587048806218216433,16.339167033723346881581129489074919918258100419714422974548277921909247526250502,0.49604312044418008048314927083667743122014484769086738096120360471411369500656522,0.4100979622333322435445348122685298843497323812968920922888135933168247542010631,0.047845181834084752766362195269571802712327033640105161616229578868460393960445739,2.6032165928156683171901414339871952962235505517632653779992117973842978502750845
1.7169227303694596417086901351229748140243072964271668805438998171429404612018733,16.339341416114224030244139727882975138088982360563687896744067361997225626309217,0.49600970271813439210237643612627913630136008554106593647096926970407159952669825,0.4100427086508867602683646404498087349452258944364667787936081802647417530227984,0.047731150649348295128457102566091747943360018869509770710239135818267871511070361,0.67538631538399796484157830715519969055237276854683694701820066034786585919674738
1.7231163259834698577971490318733078227557280151138781470179738162597029351601592,16.339002290323660004033483201190850392677995960334220800959549790555112904605355,0.48639009164819144739923788479743908617082036176420093883135778686361990236001819,0.39429220208922679265337701452677800171116314930443658783052319599113867560005333,0.047670237051762792924204271537823503912496795232162641527425993134032028540425209,3.7474145036677788973343221002432400550890063796871374438455997738857248857973281
1.717210497583703952261364154334567083798900178676629890588030610910518120728106,16.339781695851338344660218894175040809447476844046129311678114701406522936002079,0.49590609810227546982475234391486018267730636407625761829978403439655617316586193,0.40987143022503943722379938183703090343306675936299792691801436013869679430465544,0.047733840876907456262929249371061264178159892467168939583092695695853305492958323,1.2185167458082059819716388437245041334635739218490605084613539229136709928334516
